property_type,places,currency,price_aprox_usd,surface_total_in_m2,price_usd_per_m2,latitude,longitude,has_garden
apartment,BenitoJuarez,MXN,142095.4,100.0,1421.0,19.370933,-99.173043,No
apartment,MiguelHidalgo,USD,1500000.0,300.0,5000.0,19.407269,-99.190754,No
house,GustavoAMadero,MXN,165751.7,150.0,1105.0,19.464569,-99.114487,No
apartment,Cuajimalpa,MXN,381122.0,129.0,2954.4,19.384553,-99.2491233,No
apartment,Iztapalapa,MXN,58390.5,90.0,648.8,19.359004,-99.092622,No
apartment,MiguelHidalgo,USD,1400000.0,280.0,5000.0,19.4282002,-99.1862648,No
house,BenitoJuarez,MXN,331919.6,220.0,1508.7,19.386795,-99.189358,No
apartment,BenitoJuarez,MXN,175972.8,86.0,2046.2,19.367424,-99.185753,No
apartment,BenitoJuarez,MXN,150156.5,82.0,1831.2,19.368544,-99.163605,No
apartment,MiguelHidalgo,MXN,495463.4,288.0,1720.4,19.444568,-99.202862,No
apartment,BenitoJuarez,MXN,43729.8,71.0,615.9,19.391054,-99.14077,No
apartment,Iztapalapa,MXN,47119.6,72.0,654.4,19.3915,-99.038137,No
apartment,Coyoacan,MXN,218880.7,157.0,1394.1,19.336697,-99.152534,No
house,MiguelHidalgo,MXN,1427628.1,300.0,4758.8,19.436547,-99.172838,No
house,AlvaroObregon,MXN,172169.2,120.0,1434.7,19.342911,-99.224472,No
apartment,BenitoJuarez,MXN,171231.1,65.0,2634.3,19.394179,-99.177221,No
apartment,MiguelHidalgo,USD,915712.0,186.0,4923.2,19.407269,-99.190754,No
apartment,BenitoJuarez,MXN,242415.3,88.0,2754.7,19.3872626,-99.1754024,No
apartment,BenitoJuarez,MXN,210795.9,120.0,1756.6,19.371992,-99.157853,No
house,Tlalpan,MXN,69878.8,168.0,415.9,19.2790911,-99.2114234,Yes
house,Iztapalapa,MXN,129112.5,208.0,620.7,19.37147,-99.128683,No
apartment,Cuauhtemoc,MXN,44048.9,70.0,629.3,19.410215,-99.14595,No
apartment,GustavoAMadero,MXN,34446.0,50.0,688.9,19.467806,-99.130254,No
house,AlvaroObregon,MXN,57574.5,100.0,575.7,19.349888,-99.226601,No
house,AlvaroObregon,MXN,407003.1,375.0,1085.3,19.317908,-99.198741,No
apartment,Azcapotzalco,MXN,75359.5,102.0,738.8,19.484102,-99.18436,No
house,Iztapalapa,MXN,42096.5,60.0,701.6,19.3739131,-99.0526363,No
apartment,GustavoAMadero,MXN,35890.0,70.0,512.7,19.487416,-99.118006,No
apartment,MiguelHidalgo,MXN,657459.8,185.0,3553.8,19.407269,-99.190754,No
apartment,VenustianoCarranza,MXN,119230.0,62.0,1923.1,19.4306069,-99.0949899,No
house,MiguelHidalgo,MXN,695626.5,395.0,1761.1,19.401079,-99.24807,No
apartment,Cuauhtemoc,MXN,40041.7,50.0,800.8,19.446524,-99.142241,No
apartment,VenustianoCarranza,MXN,29574.7,75.0,394.3,19.41526,-99.075364,No
apartment,GustavoAMadero,MXN,41105.2,60.0,685.1,19.469689,-99.085457,No
house,BenitoJuarez,MXN,147803.0,260.0,568.5,19.376456,-99.145563,No
apartment,VenustianoCarranza,MXN,35890.2,60.0,598.2,19.41275,-99.126007,No
apartment,Iztacalco,MXN,74779.8,44.0,1699.5,19.400097,-99.122093,No
apartment,Cuauhtemoc,MXN,342462.1,110.0,3113.3,19.419116,-99.161436,No
apartment,Azcapotzalco,MXN,93540.7,65.0,1439.1,19.472155,-99.161186,No
house,BenitoJuarez,MXN,74719.4,280.0,266.9,19.384426,-99.134831,No
apartment,Coyoacan,MXN,61881.1,60.0,1031.4,19.354219,-99.126244,No
apartment,BenitoJuarez,MXN,148049.0,64.0,2313.3,19.380747,-99.155304,No
apartment,BenitoJuarez,MXN,268047.8,92.0,2913.6,19.394358,-99.177444,No
house,MiguelHidalgo,MXN,168584.0,109.0,1546.6,19.444862,-99.171016,No
apartment,Cuauhtemoc,MXN,177267.4,102.0,1737.9,19.427607,-99.160835,No
house,AlvaroObregon,MXN,916962.2,304.0,3016.3,19.355921,-99.180214,No
apartment,Cuauhtemoc,MXN,69335.4,54.0,1284.0,19.455525,-99.124086,No
house,AlvaroObregon,MXN,2107959.1,1000.0,2108.0,19.3605334,-99.2267067,No
apartment,BenitoJuarez,MXN,168889.7,74.0,2282.3,19.3713214,-99.1409854,No
house,AlvaroObregon,MXN,1685967.5,647.0,2605.8,19.321035,-99.2047356,Yes
apartment,BenitoJuarez,MXN,132067.4,90.0,1467.4,19.395261,-99.153153,No
apartment,Coyoacan,MXN,163696.9,82.0,1996.3,19.350214,-99.162146,No
apartment,Cuauhtemoc,MXN,21348.8,48.0,444.8,19.446313,-99.14006,No
apartment,Tlahuac,MXN,21074.6,50.0,421.5,19.305449,-99.051736,No
apartment,MiguelHidalgo,MXN,52686.5,68.0,774.8,19.453142,-99.180214,No
apartment,BenitoJuarez,MXN,166001.8,110.0,1509.1,19.367025,-99.170349,No
apartment,AlvaroObregon,MXN,46954.8,80.0,586.9,19.378533,-99.187561,No
apartment,BenitoJuarez,MXN,129608.8,120.0,1080.1,19.392172,-99.154625,No
apartment,MiguelHidalgo,MXN,26027.1,60.0,433.8,19.410419,-99.194748,No
apartment,MiguelHidalgo,MXN,62170.0,70.0,888.1,19.411112,-99.193066,No
house,MiguelHidalgo,USD,980000.0,741.0,1322.5,19.401079,-99.24807,Yes
apartment,MiguelHidalgo,USD,1200000.0,170.0,7058.8,19.429273,-99.191393,No
apartment,Iztapalapa,MXN,27028.2,42.0,643.5,19.374144,-99.024486,No
apartment,BenitoJuarez,MXN,84467.0,80.0,1055.8,19.389067,-99.162824,No
apartment,Cuauhtemoc,MXN,59391.7,48.0,1237.3,19.443178,-99.144234,No
house,Coyoacan,MXN,87459.6,240.0,364.4,19.315626,-99.10273,No
house,VenustianoCarranza,MXN,153247.4,95.0,1613.1,19.416372,-99.115206,No
apartment,AlvaroObregon,MXN,167582.8,100.0,1675.8,19.3404477,-99.1297322,No
store,Coyoacan,MXN,237089.2,467.0,507.7,19.3437444,-99.1561883,No
house,AlvaroObregon,MXN,908841.8,500.0,1817.7,19.344201,-99.189162,No
apartment,MiguelHidalgo,MXN,342543.4,130.0,2634.9,19.407269,-99.190754,No
apartment,BenitoJuarez,MXN,315666.9,135.0,2338.3,19.371992,-99.157853,No
house,Tlalpan,MXN,289844.4,932.0,311.0,19.1999418,-99.1483827,Yes
house,MiguelHidalgo,MXN,1686367.3,1000.0,1686.4,19.4010793,-99.2480728,No
apartment,BenitoJuarez,MXN,65633.7,153.0,429.0,19.403334,-99.145021,No
apartment,VenustianoCarranza,MXN,31506.5,65.0,484.7,19.456454,-99.123252,No
house,Azcapotzalco,MXN,75025.6,143.0,524.7,19.478311,-99.210655,No
apartment,Coyoacan,MXN,86140.7,60.0,1435.7,19.317887,-99.135625,No
apartment,Coyoacan,MXN,51632.8,77.0,670.6,19.323772,-99.116562,No
house,Tlalpan,MXN,158059.4,240.0,658.6,19.269906,-99.235882,No
apartment,Iztapalapa,MXN,25842.2,45.0,574.3,19.38855,-99.055877,No
apartment,Cuajimalpa,MXN,424302.1,180.0,2357.2,19.3627981,-99.2650096,No
apartment,Cuauhtemoc,MXN,160693.8,89.0,1805.5,19.417364,-99.159454,No
apartment,MiguelHidalgo,MXN,819538.2,262.0,3128.0,19.4095028,-99.2272939,No
apartment,VenustianoCarranza,MXN,13171.6,47.0,280.2,19.443592,-99.121407,No
apartment,Cuauhtemoc,MXN,26870.1,69.0,389.4,19.448311,-99.157021,No
apartment,MiguelHidalgo,USD,789000.0,380.0,2076.3,19.422758,-99.226384,No
apartment,Coyoacan,MXN,61895.7,80.0,773.7,19.352333,-99.121169,No
apartment,Cuajimalpa,MXN,142287.2,64.0,2223.2,19.392937,-99.263313,No
apartment,BenitoJuarez,MXN,201837.1,84.0,2402.8,19.367424,-99.185753,No
house,Coyoacan,MXN,92201.3,220.0,419.1,19.311453,-99.114996,No
apartment,Coyoacan,MXN,59535.7,63.0,945.0,19.309208,-99.171906,No
house,Iztapalapa,MXN,63223.8,134.0,471.8,19.375563,-99.101135,No
apartment,MiguelHidalgo,USD,789750.0,1450.0,544.7,19.407269,-99.190754,Yes
apartment,MiguelHidalgo,MXN,156771.7,85.0,1844.4,19.443178,-99.20237,No
apartment,BenitoJuarez,MXN,279238.4,110.0,2538.5,19.378864,-99.170313,No
apartment,Cuajimalpa,MXN,358268.1,200.0,1791.3,19.3900391,-99.2550479,No
house,Coyoacan,MXN,395148.6,320.0,1234.8,19.309208,-99.171906,No
apartment,AlvaroObregon,MXN,113984.3,68.0,1676.2,19.3833145,-99.1971532,No
apartment,AlvaroObregon,MXN,67664.2,72.0,939.8,19.366505,-99.222297,No
apartment,GustavoAMadero,MXN,168636.7,116.0,1453.8,19.478469,-99.116014,No
apartment,Cuauhtemoc,MXN,107217.0,100.0,1072.2,19.431629,-99.162762,No
apartment,AlvaroObregon,MXN,32185.5,54.0,596.0,19.390806,-99.195413,No
apartment,BenitoJuarez,MXN,52943.5,120.0,441.2,19.400785,-99.147419,No
apartment,GustavoAMadero,MXN,20568.8,50.0,411.4,19.486329,-99.086792,No
house,Tlahuac,MXN,120153.7,220.0,546.2,19.302132,-99.038153,No
apartment,VenustianoCarranza,MXN,42159.2,61.0,691.1,19.4301421,-99.109777,No
apartment,BenitoJuarez,MXN,298776.8,94.0,3178.5,19.361269,-99.1719297,No
apartment,Azcapotzalco,MXN,35616.1,77.0,462.5,19.498246,-99.202133,No
apartment,AlvaroObregon,MXN,90747.6,91.0,997.2,19.333981,-99.233654,No
house,Tlalpan,MXN,122727.9,170.0,721.9,19.272315,-99.166139,No
apartment,AlvaroObregon,MXN,97891.5,60.0,1631.5,19.386836,-99.217824,No
apartment,AlvaroObregon,MXN,75692.9,80.0,946.2,19.390806,-99.195413,No
house,MagdalenaContreras,MXN,392514.3,146.0,2688.5,19.312578,-99.236298,No
apartment,Tlalpan,MXN,31611.9,75.0,421.5,19.291903,-99.124191,No
apartment,Cuajimalpa,USD,475000.0,275.0,1727.3,19.392937,-99.263313,No
apartment,MiguelHidalgo,USD,1053676.0,229.0,4601.2,23.634501,-102.552788,No
apartment,Azcapotzalco,MXN,65873.7,54.0,1219.9,19.48314,-99.211139,No
apartment,BenitoJuarez,MXN,60062.6,1271.0,47.3,19.371543,-99.141669,No
apartment,AlvaroObregon,MXN,110957.7,70.0,1585.1,19.390806,-99.195413,No
apartment,Cuauhtemoc,MXN,259584.6,78.0,3328.0,19.417364,-99.159454,No
house,BenitoJuarez,MXN,331924.8,228.0,1455.8,23.634501,-102.552788,No
house,MiguelHidalgo,USD,2700000.0,605.0,4462.8,19.4095028,-99.2272939,No
apartment,Cuajimalpa,USD,800000.0,305.0,2623.0,19.3850122,-99.2539646,No
apartment,BenitoJuarez,MXN,66385.0,80.0,829.8,19.364891,-99.148384,No
apartment,Iztapalapa,MXN,25795.3,52.0,496.1,19.321644,-99.044846,No
apartment,AlvaroObregon,MXN,147522.2,242.0,609.6,19.315436,-99.220976,No
apartment,VenustianoCarranza,MXN,117089.6,61.0,1919.5,19.4306069,-99.0949899,No
house,BenitoJuarez,MXN,90093.9,150.0,600.6,19.379618,-99.187545,No
apartment,AlvaroObregon,MXN,56416.7,70.0,806.0,19.363542,-99.224084,No
apartment,Cuauhtemoc,MXN,421591.8,140.0,3011.4,19.4158245484,-99.1765344143,No
apartment,Cuauhtemoc,MXN,27192.7,50.0,543.9,19.439858,-99.150241,No
store,GustavoAMadero,USD,4000000.0,500.0,8000.0,19.486397,-99.117309,No
apartment,Cuajimalpa,MXN,1840298.4,426.0,4319.9,19.3782794,-99.2768399,No
apartment,Cuauhtemoc,MXN,62946.4,42.0,1498.7,19.403193,-99.155647,No
house,Cuajimalpa,USD,790000.0,500.0,1580.0,19.35735,-99.299792,No
apartment,Iztapalapa,MXN,34562.3,60.0,576.0,19.317534,-99.058491,No
apartment,Cuauhtemoc,MXN,58671.7,70.0,838.2,19.450827,-99.156468,No
apartment,GustavoAMadero,MXN,44204.0,45.0,982.3,19.466393,-99.142185,No
apartment,Cuauhtemoc,MXN,121800.6,67.0,1817.9,19.446829,-99.159454,No
apartment,Cuajimalpa,MXN,558609.2,236.0,2367.0,19.390415,-99.254997,No
apartment,Cuauhtemoc,MXN,58885.3,36.0,1635.7,19.404661,-99.133858,No
apartment,AlvaroObregon,MXN,76922.3,86.0,894.4,19.36867,-99.218886,No
apartment,Cuauhtemoc,MXN,23834.8,11.0,2166.8,19.439716,-99.152892,No
apartment,AlvaroObregon,MXN,153163.3,60.0,2552.7,19.3736979,-99.1933122,No
house,Cuauhtemoc,MXN,109086.9,144.0,757.5,19.553321,-99.137827,No
apartment,Coyoacan,MXN,107322.4,90.0,1192.5,19.305984,-99.127341,No
apartment,Cuajimalpa,MXN,102738.6,92.0,1116.7,19.366934,-99.291958,No
apartment,GustavoAMadero,MXN,37943.3,59.0,643.1,19.490054,-99.093551,No
apartment,MiguelHidalgo,MXN,221283.2,90.0,2458.7,19.442027,-99.185897,No
house,Tlalpan,MXN,197279.3,360.0,548.0,19.288275,-99.167125,No
house,Tlalpan,USD,2000000.0,640.0,3125.0,19.271481,-99.175369,Yes
house,BenitoJuarez,MXN,347808.0,220.0,1580.9,19.386795,-99.189358,No
apartment,MiguelHidalgo,MXN,208638.5,82.0,2544.4,19.432657,-99.177444,No
apartment,BenitoJuarez,MXN,416223.2,150.0,2774.8,19.394358,-99.177444,No
apartment,Iztacalco,MXN,33508.6,70.0,478.7,19.399226,-99.134352,No
apartment,Cuauhtemoc,MXN,104319.2,85.0,1227.3,19.446829,-99.159454,No
house,AlvaroObregon,MXN,194940.0,300.0,649.8,19.3443,-99.233696,No
apartment,BenitoJuarez,MXN,163855.0,50.0,3277.1,19.386821,-99.164805,No
house,Tlalpan,MXN,468909.7,519.0,903.5,19.275882,-99.148657,No
apartment,Iztacalco,MXN,43213.2,80.0,540.2,19.381259203,-99.1038592905,No
apartment,Tlahuac,MXN,79566.6,117.0,680.1,19.2990233,-99.0436467,No
apartment,AlvaroObregon,MXN,126447.6,80.0,1580.6,19.38499,-99.227853,No
house,Coyoacan,MXN,305654.1,285.0,1072.5,19.3439785,-99.1248628,No
house,Azcapotzalco,MXN,134350.5,180.0,746.4,19.503164,-99.174332,No
apartment,AlvaroObregon,MXN,352999.4,210.0,1680.9,19.339581,-99.197517,No
apartment,GustavoAMadero,MXN,32612.9,58.0,562.3,19.5235528917,-99.1558814049,No
apartment,BenitoJuarez,MXN,181768.4,108.0,1683.0,19.380798,-99.18286,No
apartment,MiguelHidalgo,MXN,658581.0,190.0,3466.2,19.4264,-99.223349,No
house,Xochimilco,MXN,134382.4,279.0,481.7,19.2686525172,-99.1396057606,Yes
house,Tlahuac,MXN,40041.7,130.0,308.0,19.2963642,-99.023599,No
house,Cuauhtemoc,MXN,1106678.5,870.0,1272.0,19.4468279,-99.1594532,Yes
house,Cuauhtemoc,MXN,74814.8,140.0,534.4,19.413992,-99.138695,No
apartment,BenitoJuarez,MXN,146184.9,52.0,2811.2,19.383915,-99.173846,No
apartment,Cuauhtemoc,MXN,376708.4,117.0,3219.7,19.417364,-99.159454,No
house,Coyoacan,MXN,102738.6,68.0,1510.9,19.3163928,-99.1028813,No
apartment,Cuauhtemoc,MXN,49033.5,70.0,700.5,19.446256,-99.147767,No
house,Coyoacan,MXN,453211.2,211.0,2147.9,19.2976171,-99.1575957,No
apartment,MiguelHidalgo,MXN,101333.7,80.0,1266.7,19.401366,-99.18064,No
house,BenitoJuarez,MXN,123813.2,100.0,1238.1,19.391673,-99.140788,No
apartment,BenitoJuarez,MXN,250065.8,108.0,2315.4,19.40099,-99.161174,No
apartment,AlvaroObregon,MXN,584958.6,201.0,2910.2,19.390806,-99.195413,No
apartment,GustavoAMadero,MXN,43744.0,47.0,930.7,19.518489,-99.129307,No
apartment,Iztacalco,MXN,77712.6,55.0,1413.0,19.396727,-99.115875,No
apartment,Coyoacan,MXN,88758.9,75.0,1183.5,19.348122,-99.125716,No
apartment,Iztapalapa,MXN,32857.7,55.0,597.4,19.359004,-99.092622,No
house,Tlalpan,USD,1130000.0,484.0,2334.7,19.284221,-99.168132,No
house,Iztacalco,MXN,110554.5,74.0,1494.0,19.379943,-99.123549,No
apartment,Cuajimalpa,MXN,890401.6,305.0,2919.3,19.38974,-99.253023,No
house,MiguelHidalgo,USD,760000.0,500.0,1520.0,19.4037619,-99.2513326,Yes
apartment,VenustianoCarranza,MXN,92201.3,77.0,1197.4,19.4526892,-99.1179867,No
house,Coyoacan,MXN,129081.9,187.0,690.3,19.304039,-99.163035,No
apartment,BenitoJuarez,MXN,226578.2,74.0,3061.9,19.39912,-99.141464,No
house,Iztapalapa,MXN,109673.2,161.0,681.2,19.379581,-99.127742,No
apartment,VenustianoCarranza,MXN,36880.5,51.0,723.1,19.424719,-99.06065,No
house,BenitoJuarez,MXN,306508.9,526.0,582.7,19.39365,-99.14769,No
apartment,MiguelHidalgo,MXN,72760.0,75.0,970.1,19.401819,-99.184615,No
apartment,MiguelHidalgo,USD,2174208.0,340.0,6394.7,23.634501,-102.552788,No
house,AlvaroObregon,MXN,245050.2,200.0,1225.3,19.3633984,-99.2178363,No
house,Coyoacan,MXN,237089.2,190.0,1247.8,19.339132,-99.141564,No
apartment,Cuajimalpa,MXN,1053979.6,390.0,2702.5,19.3935344356,-99.2650692265,Yes
apartment,BenitoJuarez,MXN,40568.6,63.0,643.9,19.388044,-99.185753,No
apartment,Tlahuac,MXN,7823.9,49.0,159.7,19.2833321409,-99.0550169349,No
apartment,AlvaroObregon,MXN,187037.0,100.0,1870.4,19.33923,-99.218987,No
house,Tlalpan,MXN,684032.7,252.0,2714.4,19.3008,-99.193624,No
house,GustavoAMadero,MXN,82737.4,126.0,656.6,19.500344,-99.097421,No
house,Iztapalapa,MXN,58771.8,200.0,293.9,19.31725,-99.079622,No
apartment,BenitoJuarez,MXN,124231.3,83.0,1496.8,19.3638234,-99.1444714,Yes
house,Coyoacan,MXN,258163.8,176.0,1466.8,19.339791,-99.145942,No
apartment,MiguelHidalgo,USD,1364000.0,200.0,6820.0,19.4332386,-99.1933503,No
apartment,BenitoJuarez,MXN,289069.7,126.0,2294.2,19.371992,-99.157853,No
house,MagdalenaContreras,MXN,737785.7,302.0,2443.0,19.3251419,-99.2229219,No
house,VenustianoCarranza,MXN,62290.2,121.0,514.8,19.428152,-99.106194,No
apartment,MiguelHidalgo,MXN,495463.4,288.0,1720.4,19.444366,-99.202733,No
apartment,BenitoJuarez,MXN,77712.6,60.0,1295.2,19.382956,-99.145972,No
house,MiguelHidalgo,MXN,340986.9,300.0,1136.6,19.423365,-99.224539,No
house,MiguelHidalgo,MXN,1312204.6,1778.0,738.0,19.407269,-99.190754,Yes
house,MiguelHidalgo,MXN,151246.1,230.0,657.6,19.422113,-99.181889,No
apartment,Iztacalco,MXN,29609.8,55.0,538.4,19.383966,-99.101121,No
house,Xochimilco,MXN,217981.6,250.0,871.9,19.274469,-99.145755,No
apartment,BenitoJuarez,MXN,130110.2,105.0,1239.1,19.391819,-99.188639,No
house,Coyoacan,MXN,94765.4,100.0,947.7,19.310925,-99.126762,No
apartment,AlvaroObregon,MXN,63238.8,82.0,771.2,19.378786,-99.208595,No
apartment,BenitoJuarez,MXN,26343.2,41.0,642.5,19.380644,-99.179176,No
apartment,Azcapotzalco,MXN,38735.1,57.0,679.6,19.484102,-99.18436,No
apartment,Coyoacan,MXN,86862.1,85.0,1021.9,19.348122,-99.125716,No
apartment,MiguelHidalgo,MXN,39514.9,56.0,705.6,19.452301,-99.207422,No
apartment,AlvaroObregon,MXN,274034.7,126.0,2174.9,19.337386,-99.205912,No
house,Iztapalapa,MXN,135430.6,265.0,511.1,19.362488,-99.108269,Yes
apartment,AlvaroObregon,MXN,309606.8,105.0,2948.6,19.355921,-99.180214,No
apartment,BenitoJuarez,MXN,197574.3,152.0,1299.8,19.373185,-99.151934,No
house,MiguelHidalgo,MXN,28984.4,40.0,724.6,19.399689,-99.188522,No
house,Iztapalapa,MXN,51211.3,57.0,898.4,19.323864,-99.055725,No
apartment,BenitoJuarez,MXN,210745.9,102.0,2066.1,19.403561,-99.156308,No
apartment,Cuauhtemoc,MXN,165962.4,80.0,2074.5,19.41498,-99.177444,No
apartment,MiguelHidalgo,MXN,621847.9,223.0,2788.6,19.407269,-99.190754,No
house,AlvaroObregon,MXN,2002086.4,1200.0,1668.4,19.390806,-99.195413,No
house,Tlalpan,MXN,395242.3,422.0,936.6,19.2998407,-99.1927294,Yes
apartment,AlvaroObregon,MXN,40103.5,90.0,445.6,19.368697,-99.208668,No
apartment,Cuauhtemoc,MXN,21343.3,66.0,323.4,19.446313,-99.14006,No
house,Tlahuac,MXN,86953.3,202.0,430.5,19.3116278,-99.0477689,Yes
apartment,Cuajimalpa,MXN,266129.8,103.0,2583.8,19.382275,-99.270241,No
apartment,BenitoJuarez,MXN,120125.2,80.0,1501.6,19.399815,-99.150806,No
apartment,Cuauhtemoc,MXN,62380.8,58.0,1075.5,19.441234,-99.136622,No
house,MagdalenaContreras,MXN,103792.4,98.0,1059.1,19.313719,-99.231792,No
apartment,BenitoJuarez,MXN,51076.2,70.0,729.7,19.392185,-99.135357,No
apartment,BenitoJuarez,MXN,136984.8,82.0,1670.5,19.380644,-99.179176,No
house,Azcapotzalco,MXN,360988.0,350.0,1031.4,19.464928,-99.180214,No
house,Coyoacan,MXN,416321.9,391.0,1064.8,19.350214,-99.162146,Yes
apartment,Cuauhtemoc,MXN,55333.9,187.0,295.9,19.436024,-99.15461,No
apartment,BenitoJuarez,MXN,98020.1,85.0,1153.2,19.384467,-99.135872,No
apartment,Cuauhtemoc,MXN,148407.4,55.0,2698.3,23.634501,-102.552788,No
apartment,Coyoacan,MXN,94858.2,71.0,1336.0,19.3246591,-99.140855,No
apartment,Cuauhtemoc,MXN,33982.8,60.0,566.4,19.448187,-99.161176,No
house,VenustianoCarranza,MXN,58093.5,3300.0,17.6,19.4356397539,-99.1176906602,Yes
apartment,MiguelHidalgo,MXN,46832.9,59.0,793.8,19.444569,-99.168699,No
apartment,MiguelHidalgo,MXN,47681.3,70.0,681.2,19.457982,-99.19269,No
house,Cuajimalpa,USD,6500000.0,1153.0,5637.5,19.390415,-99.254997,No
house,Coyoacan,MXN,163328.1,120.0,1361.1,19.350214,-99.162146,No
apartment,Cuauhtemoc,MXN,52313.6,60.0,871.9,19.446829,-99.159454,No
apartment,Iztacalco,MXN,39514.9,60.0,658.6,19.412097,-99.073245,No
apartment,Cuajimalpa,USD,592358.0,165.0,3590.0,19.392937,-99.263313,No
apartment,BenitoJuarez,MXN,226551.9,80.0,2831.9,19.384068,-99.167882,No
apartment,VenustianoCarranza,MXN,51105.9,60.0,851.8,19.439759,-99.1047,No
apartment,Cuajimalpa,MXN,579551.3,260.0,2229.0,19.36326,-99.278958,No
house,Azcapotzalco,MXN,254417.1,180.0,1413.4,19.4731507,-99.1872093,No
house,Coyoacan,MXN,187037.0,138.0,1355.3,19.338696,-99.119802,No
apartment,Cuauhtemoc,MXN,44794.1,75.0,597.3,19.412142,-99.146127,No
apartment,BenitoJuarez,MXN,93311.2,60.0,1555.2,23.634501,-102.552788,No
apartment,MiguelHidalgo,MXN,757838.2,290.0,2613.2,19.407269,-99.190754,No
apartment,BenitoJuarez,MXN,447835.1,200.0,2239.2,19.396593,-99.133163,No
house,Tlalpan,MXN,49525.3,100.0,495.3,19.277895,-99.228172,No
house,Iztapalapa,MXN,51211.3,57.0,898.4,19.325608,-99.06112,No
apartment,AlvaroObregon,MXN,177711.9,110.0,1615.6,19.3390684,-99.2359508,No
house,Coyoacan,MXN,163328.1,230.0,710.1,19.328833,-99.133163,No
apartment,BenitoJuarez,MXN,53092.6,80.0,663.7,19.35782,-99.149406,No
apartment,Iztacalco,MXN,67981.7,63.0,1079.1,19.392349,-99.07093,No
apartment,Cuauhtemoc,MXN,57902.4,48.0,1206.3,19.439253,-99.163605,No
house,Xochimilco,MXN,47956.1,188.0,255.1,19.244534,-99.102668,No
apartment,BenitoJuarez,MXN,157691.2,75.0,2102.5,19.39365,-99.14769,No
apartment,GustavoAMadero,MXN,34387.4,50.0,687.7,19.527836,-99.169827,No
apartment,MagdalenaContreras,MXN,42149.2,57.0,739.5,19.306255,-99.234777,No
apartment,Xochimilco,MXN,46891.0,78.0,601.2,19.264442,-99.124863,No
house,AlvaroObregon,MXN,52686.5,96.0,548.8,19.38017,-99.245751,No
apartment,Tlalpan,MXN,346677.1,160.0,2166.7,19.275206,-99.218292,No
apartment,BenitoJuarez,MXN,52956.0,85.0,623.0,19.400785,-99.147419,No
apartment,BenitoJuarez,MXN,77976.0,75.0,1039.7,19.392025,-99.135302,No
apartment,MiguelHidalgo,MXN,52686.5,68.0,774.8,19.453697,-99.180085,No
house,Cuauhtemoc,MXN,118572.7,229.0,517.8,19.4392246682,-99.1584244743,No
apartment,Iztapalapa,MXN,48396.3,75.0,645.3,19.314895,-99.09423,No
apartment,BenitoJuarez,MXN,299330.2,141.0,2122.9,19.381591,-99.165397,No
house,Coyoacan,MXN,287209.4,177.0,1622.7,19.31782,-99.132469,No
apartment,Coyoacan,MXN,37249.3,68.0,547.8,23.634501,-102.552788,No
apartment,Iztacalco,MXN,74762.1,44.0,1699.1,19.400097,-99.122093,No
house,Coyoacan,MXN,658737.2,300.0,2195.8,19.353813,-99.163605,No
house,AlvaroObregon,MXN,878283.7,1000.0,878.3,19.377748,-99.222572,No
apartment,VenustianoCarranza,MXN,67438.7,65.0,1037.5,19.414261,-99.104118,No
apartment,Tlahuac,MXN,31085.0,50.0,621.7,19.3029619922,-99.0406322479,No
apartment,BenitoJuarez,MXN,65873.7,38.0,1733.5,19.392032,-99.142755,No
apartment,Iztapalapa,MXN,30584.5,59.0,518.4,19.359004,-99.092622,No
apartment,Coyoacan,MXN,48524.2,63.0,770.2,23.634501,-102.552788,No
house,Coyoacan,MXN,99741.6,183.0,545.0,19.314902,-99.112504,No
house,Xochimilco,MXN,50507.5,220.0,229.6,19.283888,-99.107316,No
apartment,BenitoJuarez,MXN,37201.4,85.0,437.7,23.634501,-102.552788,No
apartment,Cuauhtemoc,MXN,50546.2,60.0,842.4,19.458118,-99.125557,No
apartment,Cuauhtemoc,MXN,55847.7,53.0,1053.7,19.407816,-99.129707,No
house,Tlalpan,MXN,109587.9,190.0,576.8,19.302141,-99.129356,No
house,AlvaroObregon,MXN,73120.5,400.0,182.8,19.343003,-99.223279,No
apartment,Iztapalapa,MXN,26556.6,57.0,465.9,19.369418,-99.007392,No
apartment,BenitoJuarez,MXN,69019.3,75.0,920.3,19.394965,-99.181702,No
apartment,Cuauhtemoc,MXN,106943.8,105.0,1018.5,19.408904,-99.174556,No
apartment,GustavoAMadero,MXN,47417.8,79.0,600.2,19.469689,-99.085457,No
house,Tlalpan,MXN,295044.3,113.0,2611.0,19.2949213,-99.1592248,No
house,GustavoAMadero,MXN,82072.3,218.0,376.5,19.491145,-99.094192,No
house,AlvaroObregon,MXN,122759.5,120.0,1023.0,19.346523,-99.191292,No
house,MagdalenaContreras,MXN,103792.4,195.0,532.3,19.313719,-99.231792,No
apartment,AlvaroObregon,MXN,158059.4,82.0,1927.6,19.341894,-99.224525,No
apartment,BenitoJuarez,MXN,233717.2,114.0,2050.2,19.39365,-99.14769,No
house,BenitoJuarez,MXN,691674.1,133.0,5200.6,19.38265,-99.149463,No
apartment,MiguelHidalgo,MXN,28984.4,92.0,315.0,19.399689,-99.188522,No
house,GustavoAMadero,MXN,108428.8,220.0,492.9,19.467705,-99.070302,No
apartment,BenitoJuarez,MXN,66385.0,68.0,976.2,19.36269,-99.150565,No
