property_type,places,currency,price_aprox_usd,surface_total_in_m2,price_usd_per_m2,latitude,longitude,has_garden
apartment,Cuauhtemoc,MXN,64857.1,80.0,810.7,19.461871,-99.129227,No
house,MiguelHidalgo,USD,2000000.0,413.0,4842.6,19.420166,-99.220367,No
apartment,GustavoAMadero,MXN,34387.4,60.0,573.1,19.527836,-99.169827,No
house,Cuajimalpa,MXN,737785.7,500.0,1475.6,19.4037619,-99.2513326,Yes
house,GustavoAMadero,MXN,57433.3,148.0,388.1,19.456919,-99.105499,No
apartment,Iztapalapa,MXN,18498.4,42.0,440.4,19.359004,-99.092622,No
apartment,BenitoJuarez,MXN,135057.6,93.0,1452.2,19.3638234,-99.1444714,Yes
apartment,AlvaroObregon,MXN,46943.6,80.0,586.8,19.359897,-99.18956,No
house,MiguelHidalgo,MXN,895670.2,291.0,3077.9,19.420166,-99.220367,No
apartment,BenitoJuarez,MXN,88934.8,45.0,1976.3,19.371992,-99.157853,No
apartment,Iztapalapa,MXN,27555.0,44.0,626.3,19.346609,-99.072311,No
apartment,MiguelHidalgo,MXN,60043.4,70.0,857.8,19.445816,-99.170462,No
store,Cuauhtemoc,MXN,223917.6,355.0,630.8,19.441646,-99.151884,No
apartment,MiguelHidalgo,MXN,226551.9,60.0,3775.9,19.407269,-99.190754,No
apartment,BenitoJuarez,MXN,192305.7,85.0,2262.4,19.368544,-99.163605,No
house,AlvaroObregon,MXN,294517.4,297.0,991.6,19.340695,-99.211606,No
apartment,Cuauhtemoc,MXN,81372.6,60.0,1356.2,19.444865,-99.156877,No
apartment,BenitoJuarez,MXN,163328.1,100.0,1633.3,19.381729,-99.164986,No
apartment,AlvaroObregon,MXN,96416.3,62.0,1555.1,19.377369,-99.198052,No
apartment,MiguelHidalgo,MXN,26349.5,42.0,627.4,19.444584,-99.174675,No
apartment,Coyoacan,MXN,61881.1,70.0,884.0,19.352333,-99.121169,No
apartment,BenitoJuarez,MXN,948356.7,567.0,1672.6,19.390525,-99.179751,No
apartment,Coyoacan,MXN,106690.1,60.0,1778.2,19.328833,-99.133163,No
apartment,Iztacalco,MXN,50327.5,76.0,662.2,19.4113101,-99.064722,No
house,AlvaroObregon,MXN,137827.8,150.0,918.9,19.359668,-99.220902,No
apartment,Iztacalco,MXN,61903.7,44.0,1406.9,23.634501,-102.552788,No
apartment,MiguelHidalgo,MXN,99050.6,110.0,900.5,19.443486,-99.211871,No
apartment,Iztacalco,MXN,44783.5,56.0,799.7,19.392349,-99.07093,No
apartment,GustavoAMadero,MXN,34351.6,69.0,497.8,19.504602,-99.153096,No
house,Iztapalapa,MXN,94835.7,150.0,632.2,19.34343,-98.988029,No
house,Iztapalapa,MXN,105373.0,484.0,217.7,19.3211179,-99.0755302,Yes
house,MiguelHidalgo,USD,1000000.0,470.0,2127.7,19.404579758,-99.2446129024,No
house,Cuauhtemoc,MXN,697042.2,550.0,1267.3,19.450604,-99.144306,No
