,property_type,places,currency,price_aprox_usd,surface_total_in_m2,price_usd_per_m2,latitude,longitude,has_garden
14180,apartment,MiguelHidalgo,MXN,1001043.0,330.0,3033.0,19.407269,-99.190754,No
14184,house,AlvaroObregon,USD,2800000.0,1000.0,2800.0,19.3605334,-99.2267067,No
14185,apartment,Cuajimalpa,MXN,1164371.0,450.0,2587.0,19.386866,-99.253925,No
14201,house,MiguelHidalgo,MXN,1648033.0,1000.0,1648.0,19.401079,-99.24807,No
14210,house,AlvaroObregon,USD,1650000.0,690.0,2391.0,19.390806,-99.195413,No
14227,house,MiguelHidalgo,MXN,1844464.0,1000.0,1844.0,19.2464696,-99.1013498,No
14270,house,AlvaroObregon,MXN,1475571.0,1426.0,1035.0,19.3138847289,-99.2115466297,Yes
14272,house,Cuajimalpa,MXN,1580595.0,450.0,3512.0,19.382419,-99.263453,No
14276,apartment,MiguelHidalgo,USD,2381500.0,433.0,5500.0,19.407269,-99.190754,No
14281,house,Tlalpan,MXN,1580595.0,1080.0,1464.0,19.29095,-99.191536,No
14291,apartment,MiguelHidalgo,USD,2200000.0,450.0,4889.0,19.407269,-99.190754,Yes
14298,house,AlvaroObregon,USD,2000000.0,1347.0,1485.0,19.3488756029,-99.1918498278,Yes
14299,house,Coyoacan,MXN,1469953.0,1300.0,1131.0,19.349397,-99.148731,No
14352,house,MiguelHidalgo,MXN,1014917.0,740.0,1372.0,19.420166,-99.220367,No
14408,apartment,MiguelHidalgo,USD,1327330.0,199.0,6670.0,19.407269,-99.190754,No
14428,house,MiguelHidalgo,USD,2200000.0,630.0,3492.0,19.421996,-99.201593,No
14453,PH,MiguelHidalgo,USD,2256896.0,349.0,6467.0,19.4338054,-99.1922219,No
14459,apartment,MiguelHidalgo,USD,1181622.0,302.0,3913.0,19.407269,-99.190754,No
14465,store,MagdalenaContreras,MXN,1317162.0,800.0,1646.0,19.311710365,-99.2597150803,No
14466,house,Tlalpan,MXN,1185446.0,6440.0,184.0,19.2790911,-99.2114234,Yes
14490,apartment,BenitoJuarez,USD,1172665.0,252.0,4653.0,19.3655578,-99.1801033,No
14506,apartment,MiguelHidalgo,USD,2500000.0,460.0,5435.0,19.432566,-99.1926314,No
14545,house,AlvaroObregon,MXN,1106415.0,1116.0,991.0,19.3326724,-99.1983188,Yes
14557,house,MiguelHidalgo,MXN,1015158.0,740.0,1372.0,19.420166,-99.220367,No
14577,house,Cuajimalpa,MXN,1422535.0,675.0,2107.0,19.390415,-99.254997,No
14582,apartment,Cuauhtemoc,MXN,1264775.0,500.0,2530.0,19.438105,-99.155207,No
14606,house,MiguelHidalgo,USD,1800000.0,1225.0,1469.0,19.401079,-99.24807,No
14618,house,MiguelHidalgo,USD,1900000.0,1024.0,1855.0,19.40445,-99.248121,No
14650,house,AlvaroObregon,MXN,1738654.0,707.0,2459.0,19.357402,-99.181898,No
14728,apartment,MiguelHidalgo,USD,4000000.0,600.0,6667.0,19.420166,-99.220367,No
14732,house,Cuajimalpa,MXN,1434548.0,1110.0,1292.0,19.386275,-99.258668,No
14742,apartment,MiguelHidalgo,USD,1371500.0,201.0,6823.0,19.427759,-99.195619,No
14744,PH,MiguelHidalgo,USD,1588803.0,312.0,5092.0,19.4339975,-99.1909529,No
14757,house,Tlalpan,MXN,1001043.0,778.0,1287.0,19.2984301,-99.1990279,No
14764,store,Iztapalapa,MXN,2107459.0,4957.0,425.0,19.373101,-99.12273,No
14770,house,AlvaroObregon,USD,1500000.0,827.0,1814.0,19.324615,-99.211879,No
14785,house,Cuajimalpa,USD,4000000.0,600.0,6667.0,19.390415,-99.254997,No
14838,apartment,MiguelHidalgo,USD,1350000.0,620.0,2177.0,19.397157,-99.255691,No
14858,apartment,Tlalpan,MXN,1132501.0,570.0,1987.0,19.2695709,-99.2315505,Yes
14863,apartment,MiguelHidalgo,USD,1068000.0,178.0,6000.0,19.433077,-99.198212,No
14930,apartment,MiguelHidalgo,USD,1100000.0,220.0,5000.0,19.433077,-99.198212,No
14940,apartment,Cuajimalpa,USD,1600000.0,400.0,4000.0,19.392937,-99.263313,No
14955,apartment,MiguelHidalgo,USD,2550000.0,300.0,8500.0,19.407269,-99.190754,No
14959,house,AlvaroObregon,USD,2850000.0,579.0,4922.0,19.351912,-99.190111,No
15036,apartment,AlvaroObregon,MXN,1808102.0,360.0,5023.0,19.3767718109,-99.2540234327,No
15049,apartment,MiguelHidalgo,USD,1300000.0,226.0,5752.0,19.432398,-99.20047,No
15067,house,AlvaroObregon,MXN,1343824.0,764.0,1759.0,19.390806,-99.195413,No
15083,apartment,MiguelHidalgo,USD,1200000.0,215.0,5581.0,19.4330124,-99.1998014,No
15086,house,MiguelHidalgo,USD,3500000.0,1000.0,3500.0,19.401079,-99.24807,Yes
15098,house,AlvaroObregon,MXN,1448878.0,591.0,2452.0,19.348788,-99.205748,No
15124,house,AlvaroObregon,MXN,1262141.0,565.0,2234.0,19.3206961,-99.2176087,No
15129,apartment,MiguelHidalgo,MXN,1475571.0,315.0,4684.0,19.433077,-99.198212,Yes
15140,apartment,MiguelHidalgo,USD,1900000.0,340.0,5588.0,19.407269,-99.190754,No
15155,apartment,MiguelHidalgo,USD,1300000.0,575.0,2261.0,19.38666,-99.263477,No
15163,house,Cuajimalpa,MXN,1686367.0,965.0,1748.0,19.390415,-99.254997,No
15173,apartment,MiguelHidalgo,MXN,1211789.0,420.0,2885.0,19.4288635,-99.1909669,No
15179,house,Cuauhtemoc,MXN,6587372.0,2236.0,2946.0,19.441646,-99.151884,No
15192,apartment,Cuajimalpa,USD,1200000.0,500.0,2400.0,19.3843598183,-99.2532643676,No
15209,house,MiguelHidalgo,USD,1500000.0,650.0,2308.0,19.401079,-99.24807,No
15223,apartment,MiguelHidalgo,USD,1415000.0,326.0,4340.0,19.4332141,-99.1841539,No
15244,house,MiguelHidalgo,MXN,1685967.0,835.0,2019.0,19.4010793,-99.2480728,No
15271,house,Tlalpan,MXN,1369849.0,461.0,2971.0,19.298622,-99.191978,No
15274,house,AlvaroObregon,USD,3200000.0,1600.0,2000.0,19.3605334,-99.2267067,Yes
15281,apartment,MiguelHidalgo,USD,1700000.0,407.0,4177.0,19.4341322,-99.2040981,No
15298,apartment,MiguelHidalgo,USD,1415000.0,326.0,4340.0,19.407269,-99.190754,Yes
15319,house,AlvaroObregon,USD,1450000.0,839.0,1728.0,19.3272679467,-99.2661073207,Yes
15333,apartment,AlvaroObregon,MXN,1475571.0,400.0,3689.0,19.3611115,-99.1940586,No
15337,house,Coyoacan,MXN,1469953.0,1041.0,1412.0,19.350214,-99.162146,No
15369,house,MiguelHidalgo,USD,2000000.0,1300.0,1538.0,19.400046,-99.253814,No
15404,house,MiguelHidalgo,USD,1250000.0,750.0,1667.0,19.401079,-99.24807,Yes
15419,house,Cuajimalpa,MXN,1778169.0,900.0,1976.0,19.390536,-99.258467,No
15428,house,MiguelHidalgo,USD,1900000.0,1024.0,1855.0,19.405928,-99.248993,No
15449,house,MiguelHidalgo,USD,1660000.0,1778.0,934.0,19.407269,-99.190754,Yes
15451,apartment,MiguelHidalgo,USD,1100000.0,330.0,3333.0,19.436645,-99.192228,No
15485,apartment,MiguelHidalgo,USD,1019993.0,219.0,4658.0,19.4354835,-99.2106606,No
15541,house,Tlalpan,MXN,1738654.0,8285.0,210.0,19.288275,-99.167125,Yes
15566,apartment,MiguelHidalgo,USD,4500000.0,600.0,7500.0,19.430925,-99.209978,No
15589,house,Coyoacan,MXN,1043192.0,600.0,1739.0,19.337228,-99.165576,No
15613,apartment,MiguelHidalgo,USD,1975000.0,790.0,2500.0,19.401079,-99.24807,No
15624,apartment,MiguelHidalgo,USD,1731345.0,284.0,6096.0,19.407269,-99.190754,Yes
15631,house,Cuajimalpa,USD,1790000.0,600.0,2983.0,19.390415,-99.254997,No
15667,house,AlvaroObregon,USD,2800000.0,1200.0,2333.0,19.320576,-99.20929,Yes
15670,house,Cuauhtemoc,MXN,1264775.0,421.0,3004.0,19.4191495,-99.1595838,No
15683,apartment,MiguelHidalgo,USD,1351500.0,360.0,3754.0,19.4376344,-99.2099821,Yes
15703,house,Cuajimalpa,MXN,922013.0,1200.0,768.0,19.390415,-99.254997,No
15709,house,MiguelHidalgo,USD,1200000.0,1390.0,863.0,19.407269,-99.190754,Yes
15718,house,MiguelHidalgo,USD,1450000.0,215.0,6744.0,19.2464696,-99.1013498,No
15723,apartment,MiguelHidalgo,USD,1488000.0,700.0,2126.0,19.4049603986,-99.2512403726,No
15730,apartment,AlvaroObregon,USD,1300000.0,450.0,2889.0,19.369862,-99.268166,No
15739,apartment,AlvaroObregon,USD,1280000.0,220.0,5818.0,19.390806,-99.195413,No
15768,apartment,MiguelHidalgo,USD,1181622.0,302.0,3913.0,19.407269,-99.190754,Yes
15803,house,MiguelHidalgo,USD,4200000.0,1200.0,3500.0,19.407269,-99.190754,Yes
15827,house,Cuajimalpa,MXN,790485.0,1700.0,465.0,19.3557507,-99.2993504,Yes
15861,apartment,Cuajimalpa,USD,2600000.0,600.0,4333.0,19.3856955,-99.2583407,No
15892,apartment,MiguelHidalgo,USD,1500000.0,400.0,3750.0,19.407269,-99.190754,Yes
15895,house,MiguelHidalgo,USD,2800000.0,700.0,4000.0,19.4173649,-99.2130216,No
15897,apartment,MiguelHidalgo,USD,1300000.0,170.0,7647.0,19.430031,-99.199822,No
15933,house,MiguelHidalgo,USD,5000000.0,2000.0,2500.0,19.420166,-99.220367,Yes
15995,house,BenitoJuarez,MXN,1027630.0,372.0,2762.0,19.394073,-99.153915,No
16007,apartment,MiguelHidalgo,USD,1150000.0,170.0,6765.0,19.430456,-99.1889121,No
16022,house,AlvaroObregon,MXN,1053730.0,531.0,1984.0,19.32926,-99.270241,No
16024,apartment,MiguelHidalgo,USD,1200000.0,215.0,5581.0,19.407269,-99.190754,Yes
16035,house,AlvaroObregon,MXN,1517731.0,1000.0,1518.0,19.320576,-99.20929,Yes
16047,house,Cuajimalpa,MXN,1580595.0,634.0,2493.0,19.382419,-99.263453,No
16067,house,Cuauhtemoc,MXN,1370173.0,180.0,7612.0,19.405298,-99.164986,No
16076,apartment,MiguelHidalgo,MXN,2371454.0,260.0,9121.0,19.4282852,-99.1831702,No
16102,apartment,Cuajimalpa,USD,1500000.0,325.0,4615.0,19.3619852,-99.2663861,No
16126,apartment,Cuajimalpa,USD,1100000.0,400.0,2750.0,19.387762,-99.252596,No
16142,house,Tlalpan,MXN,1159103.0,1000.0,1159.0,19.276928,-99.212976,No
16149,house,AlvaroObregon,MXN,1159378.0,779.0,1488.0,19.3138772,-99.2098656,Yes
16253,apartment,MiguelHidalgo,USD,4200000.0,800.0,5250.0,19.400524,-99.230064,No
16261,apartment,MiguelHidalgo,USD,1550000.0,400.0,3875.0,19.407269,-99.190754,No
16297,apartment,MiguelHidalgo,MXN,1053730.0,303.0,3478.0,19.401079,-99.24807,No
16320,house,AlvaroObregon,MXN,1001043.0,690.0,1451.0,19.3715327,-99.2466824,No
16349,house,Cuajimalpa,MXN,2371454.0,1560.0,1520.0,19.412438,-99.2352725,Yes
16354,house,AlvaroObregon,USD,2820000.0,662.0,4260.0,19.346523,-99.191292,Yes
16377,store,AlvaroObregon,USD,1344103.0,327.0,4110.0,19.3446502,-99.1884795,No
16391,house,BenitoJuarez,MXN,1053730.0,500.0,2107.0,19.381729,-99.164986,No
16394,house,Xochimilco,MXN,658737.0,1555.0,424.0,19.263462,-99.104913,Yes
16396,house,Tlalpan,MXN,2107959.0,447.0,4716.0,19.3040658,-99.2262794,No
16401,house,Cuajimalpa,MXN,790485.0,3000.0,263.0,19.35735,-99.299792,Yes
16409,house,Cuajimalpa,USD,1280000.0,591.0,2166.0,19.39264,-99.25298,No
16445,house,Tlalpan,MXN,263432.0,1630.0,162.0,19.2344624,-99.1681244,No
16475,apartment,Cuajimalpa,MXN,1211789.0,200.0,6059.0,19.390415,-99.254997,No
16490,house,MiguelHidalgo,MXN,1426539.0,479.0,2978.0,19.420166,-99.220367,No
16513,apartment,Cuajimalpa,USD,1100000.0,459.0,2397.0,19.390415,-99.254997,No
16529,house,MiguelHidalgo,USD,3250000.0,1722.0,1887.0,19.420166,-99.220367,Yes
16531,apartment,MiguelHidalgo,USD,3400000.0,800.0,4250.0,19.420166,-99.220367,No
16535,house,AlvaroObregon,USD,3750000.0,3000.0,1250.0,19.390806,-99.195413,Yes
16549,store,Cuauhtemoc,USD,1200000.0,54.0,22222.0,19.441646,-99.151884,No
16569,house,AlvaroObregon,MXN,1013864.0,472.0,2148.0,19.390806,-99.195413,No
16584,apartment,MiguelHidalgo,USD,1500000.0,325.0,4615.0,19.401079,-99.24807,No
16589,house,AlvaroObregon,MXN,1185446.0,1100.0,1078.0,19.3205752,-99.2092897,Yes
16608,apartment,Cuauhtemoc,MXN,1580969.0,250.0,6324.0,19.4360237,-99.1546097,No
16617,house,MiguelHidalgo,MXN,1753406.0,980.0,1789.0,19.401079,-99.24807,No
16621,apartment,Cuajimalpa,USD,1946000.0,400.0,4865.0,19.382275,-99.270241,No
16622,apartment,MiguelHidalgo,USD,2400000.0,472.0,5085.0,19.433077,-99.198212,No
16643,apartment,Cuajimalpa,MXN,1053980.0,279.0,3778.0,19.3491793,-99.2591894,No
16678,apartment,MiguelHidalgo,USD,1256607.0,206.0,6100.0,19.4354835,-99.2106606,No
16691,house,Cuauhtemoc,MXN,3187646.0,100.0,31876.0,19.433229,-99.148535,No
16702,apartment,MiguelHidalgo,USD,2500000.0,523.0,4780.0,19.407269,-99.190754,No
16704,house,MiguelHidalgo,USD,1050000.0,705.0,1489.0,19.3970504,-99.2390458,Yes
16709,apartment,MiguelHidalgo,MXN,1263949.0,418.0,3024.0,19.4292092,-99.1900205,No
16720,apartment,Cuajimalpa,USD,1650000.0,580.0,2845.0,19.35735,-99.299792,No
16755,apartment,MiguelHidalgo,USD,2217920.0,346.0,6410.0,19.4338054,-99.1922219,Yes
16756,house,MiguelHidalgo,MXN,1580595.0,850.0,1860.0,19.410731,-99.239743,No
16758,house,MiguelHidalgo,USD,4700000.0,1121.0,4193.0,19.4234741031,-99.2137571052,Yes
16768,apartment,MiguelHidalgo,USD,1126356.0,174.0,6473.0,19.407269,-99.190754,Yes
16790,apartment,MiguelHidalgo,USD,1100000.0,480.0,2292.0,19.4010793,-99.2480728,No
16804,apartment,MiguelHidalgo,MXN,1580969.0,182.0,8687.0,19.407269,-99.190754,No
16816,apartment,MiguelHidalgo,USD,1052922.0,270.0,3900.0,19.4339975,-99.1909529,No
16839,house,Cuajimalpa,MXN,1106679.0,479.0,2310.0,19.35735,-99.299792,No
16843,apartment,MiguelHidalgo,USD,2500000.0,457.0,5470.0,19.2464696,-99.1013498,No
16845,house,Coyoacan,USD,1150000.0,506.0,2273.0,19.347502,-99.171906,No
16847,apartment,MiguelHidalgo,USD,1850000.0,650.0,2846.0,19.420166,-99.220367,No
16857,apartment,MiguelHidalgo,USD,2500000.0,325.0,7692.0,19.4299,-99.1992306,Yes
16862,apartment,Cuajimalpa,USD,1200000.0,321.0,3738.0,19.39344,-99.264859,No
16863,apartment,MiguelHidalgo,USD,2256896.0,352.0,6412.0,19.430456,-99.1889121,No
16898,house,MiguelHidalgo,USD,2800000.0,770.0,3636.0,19.4102021,-99.2256286,No
16908,house,AlvaroObregon,MXN,1159103.0,550.0,2107.0,19.3424567,-99.1986035,No
16920,apartment,Cuajimalpa,USD,1200000.0,450.0,2667.0,19.3701652255,-99.270250796,No
16934,apartment,AlvaroObregon,MXN,1248354.0,310.0,4027.0,19.383531,-99.233933,No
16943,apartment,AlvaroObregon,USD,1500000.0,275.0,5455.0,19.3585527672,-99.2816984653,No
16956,apartment,Cuajimalpa,USD,1150000.0,405.0,2840.0,19.3992009,-99.2568914,No
16982,apartment,MiguelHidalgo,USD,1082955.0,219.0,4945.0,19.407269,-99.190754,No
17000,house,Tlalpan,USD,1130000.0,628.0,1799.0,19.287188,-99.170525,Yes
17025,apartment,MiguelHidalgo,USD,1200000.0,325.0,3692.0,19.4329462382,-99.1872715209,No
17036,house,MiguelHidalgo,USD,2000000.0,750.0,2667.0,19.4207764,-99.1998943,No
17090,house,Tlalpan,MXN,1317162.0,5400.0,244.0,19.2790911,-99.2114234,Yes
17102,house,AlvaroObregon,MXN,1575326.0,1033.0,1525.0,19.3313924924,-99.257487841,Yes
17126,apartment,MiguelHidalgo,USD,1600000.0,450.0,3556.0,19.400524,-99.230064,No
17135,house,Cuajimalpa,USD,2500000.0,561.0,4456.0,19.35735,-99.299792,No
17175,house,Tlalpan,MXN,1159103.0,780.0,1486.0,19.301225,-99.191401,No
17176,house,Coyoacan,MXN,842984.0,6380.0,132.0,19.308363,-99.193255,No
17179,apartment,Cuauhtemoc,MXN,1448878.0,140.0,10349.0,19.422396,-99.167129,No
17196,apartment,MiguelHidalgo,USD,1380000.0,441.0,3129.0,19.401079,-99.24807,No
17225,apartment,MiguelHidalgo,USD,1500000.0,430.0,3488.0,19.435191,-99.208142,No
17227,house,MiguelHidalgo,USD,1700000.0,1020.0,1667.0,19.401079,-99.24807,No
17244,house,MiguelHidalgo,USD,2400000.0,600.0,4000.0,19.397653,-99.254791,No
17259,PH,MiguelHidalgo,USD,1297695.0,254.0,5109.0,19.4339975,-99.1909529,No
17262,house,AlvaroObregon,MXN,1001043.0,610.0,1641.0,19.3858358,-99.2417292,Yes
17301,house,AlvaroObregon,MXN,1119853.0,1700.0,659.0,19.3266706,-99.1959943,Yes
17362,house,Cuajimalpa,USD,1600000.0,591.0,2707.0,19.3925305,-99.2525927,No
17363,house,MiguelHidalgo,MXN,632238.0,1060.0,596.0,19.407774,-99.243416,No
17372,apartment,MiguelHidalgo,USD,1400000.0,360.0,3889.0,19.420166,-99.220367,No
17377,house,AlvaroObregon,MXN,1106416.0,390.0,2837.0,19.346728,-99.203296,No
17386,apartment,MiguelHidalgo,USD,1327230.0,199.0,6669.0,19.407269,-99.190754,No
17450,house,Tlalpan,MXN,1262210.0,780.0,1618.0,19.3017806,-99.2023662,No
17454,apartment,MiguelHidalgo,USD,1350000.0,270.0,5000.0,19.407269,-99.190754,No
17474,apartment,Cuajimalpa,MXN,1091215.0,320.0,3410.0,19.35759115,-99.2746496201,No
17502,apartment,MiguelHidalgo,USD,3078000.0,352.0,8744.0,19.407269,-99.190754,No
17523,house,MiguelHidalgo,MXN,1422535.0,800.0,1778.0,19.413594,-99.232076,No
17554,house,MiguelHidalgo,MXN,1234618.0,220.0,5612.0,19.42179,-99.222599,No
17556,house,MiguelHidalgo,USD,1890000.0,730.0,2589.0,19.407269,-99.190754,No
17558,apartment,MiguelHidalgo,USD,1050000.0,220.0,4773.0,19.407269,-99.190754,No
17559,house,Coyoacan,MXN,580078.0,1100.0,527.0,19.31352,-99.11109,No
17598,apartment,MiguelHidalgo,USD,1200000.0,427.0,2810.0,19.420166,-99.220367,No
17613,apartment,Cuajimalpa,USD,2800000.0,614.0,4560.0,19.3800745,-99.2658835,No
17617,house,MiguelHidalgo,USD,1490000.0,241.0,6183.0,19.2464696,-99.1013498,Yes
17638,house,MiguelHidalgo,USD,1750000.0,200.0,8750.0,19.4322767163,-99.18412406,No
17667,house,MiguelHidalgo,USD,2450000.0,822.0,2981.0,19.420166,-99.220367,Yes
17679,house,Cuajimalpa,USD,1790000.0,630.0,2841.0,19.35735,-99.299792,No
17682,house,Cuajimalpa,USD,1300000.0,652.0,1994.0,19.390415,-99.254997,No
17689,apartment,MiguelHidalgo,USD,1885695.0,315.0,5986.0,19.4287695,-99.1890902,No
17700,apartment,MiguelHidalgo,USD,2496000.0,348.0,7172.0,19.433077,-99.198212,No
17720,apartment,AlvaroObregon,MXN,1844464.0,800.0,2306.0,19.390806,-99.195413,No
17727,house,MiguelHidalgo,USD,1675000.0,600.0,2792.0,19.401079,-99.24807,No
17781,house,MiguelHidalgo,USD,2000000.0,513.0,3899.0,19.4267831,-99.2185954,No
17805,apartment,MiguelHidalgo,USD,1350216.0,189.0,7144.0,19.428465,-99.180148,No
17830,house,Cuauhtemoc,MXN,2740347.0,400.0,6851.0,19.441646,-99.151884,No
17850,house,MiguelHidalgo,USD,2100000.0,720.0,2917.0,19.407269,-99.190754,No
17856,house,Cuajimalpa,USD,1650000.0,690.0,2391.0,19.35735,-99.299792,No
17864,apartment,MiguelHidalgo,USD,1350000.0,280.0,4821.0,19.407269,-99.190754,Yes
17881,apartment,MiguelHidalgo,USD,3316875.0,553.0,5998.0,19.407269,-99.190754,Yes
17892,store,Iztapalapa,MXN,339487.0,1758.0,193.0,19.322292,-99.075107,No
17899,apartment,Cuajimalpa,USD,1100000.0,528.0,2083.0,19.3631419,-99.2880597,No
17900,house,MiguelHidalgo,USD,1800000.0,1100.0,1636.0,19.4036103,-99.2490825,No
17959,house,Coyoacan,MXN,1475571.0,820.0,1799.0,19.3442331525,-99.1557408875,No
17969,apartment,Cuajimalpa,MXN,1422535.0,325.0,4377.0,19.3445052,-99.2738167,No
17995,apartment,MiguelHidalgo,USD,1932962.0,348.0,5554.0,19.4342032,-99.2063684,No
18002,house,AlvaroObregon,MXN,1844027.0,1000.0,1844.0,19.3172892334,-99.2037963867,No
18032,apartment,MiguelHidalgo,USD,1900000.0,350.0,5429.0,19.4336394,-99.1871364,No
18054,house,AlvaroObregon,MXN,1101409.0,1608.0,685.0,19.3294964,-99.1972732,Yes
18057,apartment,MiguelHidalgo,MXN,1053980.0,196.0,5377.0,19.407269,-99.190754,No
18068,apartment,MiguelHidalgo,USD,1077500.0,226.0,4768.0,19.4351765,-99.2004541,No
18079,apartment,MiguelHidalgo,USD,1159043.0,229.0,5061.0,19.407269,-99.190754,Yes
18188,house,AlvaroObregon,MXN,1043192.0,1000.0,1043.0,19.3049373,-99.2377056,Yes
18203,apartment,MiguelHidalgo,USD,1886341.0,312.0,6046.0,19.4338054,-99.1922219,No
18219,apartment,Cuajimalpa,USD,3995000.0,600.0,6658.0,19.346647,-99.275787,No
