,property_type,places,currency,price_aprox_usd,surface_total_in_m2,price_usd_per_m2,latitude,longitude,has_garden
10568,apartment,MiguelHidalgo,USD,2124524.0,293.0,7251.0,19.4354835,-99.2106606,No
10570,apartment,MiguelHidalgo,USD,1164500.0,224.0,5199.0,19.407269,-99.190754,No
10571,apartment,MiguelHidalgo,USD,2300000.0,380.0,6053.0,19.404162,-99.231949,No
10597,house,MiguelHidalgo,USD,2400000.0,1200.0,2000.0,19.2464696,-99.1013498,Yes
10615,house,AlvaroObregon,MXN,1527908.0,715.0,2137.0,19.320053,-99.210414,No
10632,apartment,MiguelHidalgo,USD,1800000.0,790.0,2278.0,19.3842121,-99.2654216,No
10639,house,AlvaroObregon,MXN,1696907.0,980.0,1732.0,19.320576,-99.20929,No
10651,house,AlvaroObregon,MXN,1454492.0,500.0,2909.0,19.3605334,-99.2267067,Yes
10655,apartment,MiguelHidalgo,USD,1306000.0,193.0,6767.0,19.435359,-99.210742,No
10665,house,AlvaroObregon,MXN,1554620.0,705.0,2205.0,19.3529057,-99.1961354,Yes
10686,house,AlvaroObregon,MXN,1317162.0,1100.0,1197.0,19.320576,-99.20929,No
10700,house,AlvaroObregon,MXN,1343824.0,763.0,1761.0,19.321035,-99.2047356,Yes
10711,apartment,MiguelHidalgo,USD,1090000.0,219.0,4977.0,19.407269,-99.190754,No
10740,apartment,Cuajimalpa,MXN,2897757.0,470.0,6165.0,19.353077,-99.262659,No
10747,house,MiguelHidalgo,USD,1800000.0,497.0,3622.0,19.407269,-99.190754,No
10752,apartment,MiguelHidalgo,USD,2250000.0,800.0,2812.0,19.4230086643,-99.2229752538,Yes
10796,house,Cuajimalpa,USD,1200000.0,670.0,1791.0,19.35735,-99.299792,No
10819,apartment,MiguelHidalgo,USD,3400000.0,815.0,4172.0,19.3975785,-99.2300641,No
10839,apartment,MiguelHidalgo,USD,1700000.0,258.0,6589.0,19.4318149,-99.1940586,No
10879,apartment,MiguelHidalgo,MXN,2265519.0,390.0,5809.0,19.407269,-99.190754,Yes
10892,house,Cuajimalpa,MXN,1685967.0,1000.0,1686.0,19.3888453,-99.2548465,No
10949,house,MiguelHidalgo,USD,4500000.0,1200.0,3750.0,19.407269,-99.190754,Yes
10955,house,AlvaroObregon,MXN,2582250.0,1620.0,1594.0,19.3310745,-99.198584,Yes
10962,house,AlvaroObregon,MXN,1844027.0,2115.0,872.0,19.320576,-99.20929,No
10975,house,MiguelHidalgo,MXN,1238426.0,628.0,1972.0,19.401079,-99.24807,Yes
10986,house,AlvaroObregon,MXN,2739697.0,800.0,3425.0,19.346728,-99.203296,No
11007,apartment,MiguelHidalgo,USD,1100000.0,500.0,2200.0,19.407269,-99.190754,No
