property_type,places,price,currency,price_aprox_local_currency,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,latitude,longitude
apartment,AlvaroObregon,3550000.0,MXN,3518719.9,187081.4,100.0,100.0,1870.8,35500.0,19.3392293,-99.2189838
apartment,Azcapotzalco,605999.0,MXN,600516.8,31928.0,70.0,70.0,456.1,8657.1,19.490331,-99.207579
apartment,AlvaroObregon,613333.0,MXN,607784.4,32314.4,60.0,60.0,538.6,10222.2,19.3821,-99.204573
house,Cuauhtemoc,4721460.0,MXN,4678748.3,248757.1,319.0,319.0,779.8,14800.8,19.411685,-99.166322
apartment,MiguelHidalgo,7900000.0,MXN,7830390.8,416321.9,105.0,105.0,3751.7,63227.2,19.407269,-99.190754
house,MiguelHidalgo,8730909.0,MXN,10751847.6,571648.3,407.5,440.0,1430.1,18344.8,19.5462484,-99.131088
apartment,VenustianoCarranza,775000.0,MXN,767989.0,40832.0,62.0,62.0,658.6,12386.9,19.422588512,-99.0956765413
house,MiguelHidalgo,8730909.0,MXN,10751847.6,571648.3,407.5,440.0,1317.2,25000.0,19.405625,-99.237868
apartment,Cuauhtemoc,750000.0,MXN,743391.5,39524.2,15.0,66.0,2634.9,11363.6,19.461416,-99.133163
apartment,Iztapalapa,539000.0,MXN,534124.0,28398.0,69.0,69.0,411.6,7811.6,19.363469,-99.010141
apartment,Cuajimalpa,8730909.0,MXN,9414060.3,500521.6,330.0,330.0,1516.7,28787.9,23.634501,-102.552788
apartment,BenitoJuarez,1986558.0,MXN,1968587.0,104664.8,60.0,60.0,1744.4,33109.3,19.364005,-99.153602
house,BenitoJuarez,8730909.0,MXN,10751847.6,571648.3,150.0,150.0,3751.7,63227.2,23.634501,-102.552788
apartment,MagdalenaContreras,7105000.0,MXN,7040726.1,374337.5,184.0,184.0,2034.4,38614.1,19.3023508,-99.1679459
apartment,BenitoJuarez,3100000.0,MXN,3072685.0,163366.8,99.0,99.0,1650.2,31313.1,19.3747920646,-99.137270786
apartment,Cuauhtemoc,1510000.0,MXN,1496694.8,79575.4,75.0,75.0,1061.0,20133.3,19.440749,-99.141649
house,Iztapalapa,1800000.0,MXN,1783716.7,94835.7,120.0,120.0,790.3,15000.0,19.346931,-99.025154
apartment,Cuauhtemoc,413682.0,MXN,409939.5,21795.4,55.0,55.0,396.3,7521.5,19.45178,-99.15709
house,BenitoJuarez,8730909.0,MXN,10407481.6,553339.3,250.0,250.0,2213.4,42000.0,19.381729,-99.164986
apartment,MiguelHidalgo,5210000.0,MXN,5162868.9,274496.6,85.0,85.0,3229.4,61294.1,19.443333,-99.202983
apartment,BenitoJuarez,2241000.0,MXN,2220727.3,118070.4,107.0,107.0,1103.5,20943.9,19.39557,-99.132937
house,AlvaroObregon,8730909.0,MXN,10751847.6,571648.3,407.5,440.0,43.8,831.1,19.3447,-99.212753
apartment,Azcapotzalco,1450000.0,MXN,1436882.9,76395.4,64.0,64.0,1193.7,22656.2,19.478815,-99.196831
house,MiguelHidalgo,2500000.0,USD,10751847.6,571648.3,407.5,440.0,2272.7,3125.0,19.420166,-99.220367
house,GustavoAMadero,1600000.0,MXN,1585525.9,84298.4,210.0,210.0,401.4,7619.0,19.546411,-99.130511
apartment,VenustianoCarranza,464251.0,MXN,460051.2,24459.8,85.0,85.0,287.8,5461.8,19.409843,-99.125509
apartment,Tlalpan,585126.0,MXN,579970.2,30835.5,110.0,110.0,280.3,5319.3,19.282895,-99.166933
house,Coyoacan,1872090.0,MXN,1855154.4,98633.8,193.0,193.0,511.1,9699.9,19.338268,-99.128173
house,BenitoJuarez,7310000.0,MXN,7243871.6,385138.2,407.5,440.0,871.4,16538.5,19.395451,-99.183774
house,Iztapalapa,2000000.0,MXN,1982377.3,105398.0,118.0,385.0,893.2,5194.8,19.359004,-99.092622
house,Iztacalco,2556666.0,MXN,2534138.4,134733.7,150.0,150.0,898.2,17044.4,19.378562,-99.130993
apartment,Coyoacan,4151875.0,MXN,4227142.5,224746.4,86.0,86.0,2613.3,49152.8,19.30282,-99.164293
apartment,BenitoJuarez,3650000.0,MXN,3616981.0,192305.7,85.0,85.0,2262.4,42941.2,19.401331,-99.154029
apartment,Cuauhtemoc,1850000.0,MXN,1833264.3,97470.0,126.0,126.0,773.6,14682.5,19.425758,-99.174333
apartment,BenitoJuarez,2650000.0,MXN,2626027.3,139619.2,83.0,83.0,1682.2,31927.7,19.365031,-99.147736
